latitude,longitude,temperature,salinity,turbidity,time,ts,depth
21.28767967,-157.8886261,23.49847984,34.04851151,2.08E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.28737068,-157.8882751,23.48271942,34.0423851,2.00E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.2870636,-157.8879242,23.46965027,34.0363884,1.89E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.28675652,-157.887558,23.45949936,34.03214264,1.79E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.28644943,-157.887207,23.45253372,34.02978897,1.63E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.28614235,-157.8868561,23.44864082,34.02890015,1.46E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.28583527,-157.8865051,23.44691086,34.0279007,1.27E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.28552818,-157.8861542,23.44708633,34.02638245,1.08E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.28521919,-157.885788,23.4494648,34.0248642,9.11E-15,2019-02-18 00:00:00 HST,1550484000,0.25
21.28491211,-157.885437,23.45255852,34.02267456,7.26E-15,2019-02-18 00:00:00 HST,1550484000,0.25
21.28460503,-157.8850861,23.4550705,34.01993561,5.62E-15,2019-02-18 00:00:00 HST,1550484000,0.25
21.28429794,-157.8847351,23.45618248,34.01633835,4.30E-15,2019-02-18 00:00:00 HST,1550484000,0.25
21.28399086,-157.8843842,23.45654488,34.01187897,3.29E-15,2019-02-18 00:00:00 HST,1550484000,0.25
21.28368378,-157.8840332,23.4569149,34.00670624,2.58E-15,2019-02-18 00:00:00 HST,1550484000,0.25
21.28337669,-157.883667,23.45743942,34.00278091,2.27E-15,2019-02-18 00:00:00 HST,1550484000,0.25
21.2830677,-157.883316,23.45651436,34.00062561,2.14E-15,2019-02-18 00:00:00 HST,1550484000,0.25
